75000 .002254 .004552
76000 .002122 .003374
77000 .001965 .003406
78000 .001857 .003075
79000 .001955 .002494
80000 .002120 .001730
81000 .002048 .004768
82000 .002199 .002250
83000 .002171 .002911
84000 .002265 .006513
85000 .002350 .031960
86000 .002252 .023763
87000 .002255 .002067
88000 .002294 .002783
89000 .002479 .004709
90000 .002295 .002529
91000 .002399 .001486
92000 .002467 .009331
93000 .002528 .003661
94000 .002377 .005340
95000 .002619 .002289
96000 .002607 .004615
97000 .002428 .002757
98000 .002537 .003191
99000 .002579 .001576
100000 .002451 .005661
101000 .002676 .003177
102000 .002603 .005105
103000 .002533 .002735
104000 .002670 .003991
105000 .002967 .001718
106000 .002622 .012337
107000 .002637 .019480
108000 .002713 .006825
109000 .003182 .002506
110000 .002748 .002249
111000 .002703 .002156
112000 .002749 .001676
113000 .002845 .002723
114000 .002878 .002188
115000 .002946 .001962
116000 .002999 .001877
117000 .002959 .004231
118000 .003075 .001987
119000 .002889 .002511
120000 .003195 .002123
121000 .003153 .005530
122000 .003185 .007244
123000 .003172 .002068
124000 .003243 .001896
125000 .003118 .001834
126000 .003290 .005300
127000 .003538 .004883
128000 .003400 .001949
129000 .003483 .003687
130000 .003702 .002157
131000 .003386 .001983
132000 .003544 .003588
133000 .003197 .003568
134000 .003922 .003457
135000 .003579 .006097
136000 .003287 .003661
137000 .003397 .002258
138000 .003562 .002934
139000 .003566 .006497
140000 .003617 .016701
141000 .003656 .004355
142000 .003661 .003690
143000 .003498 .002838
144000 .003633 .004308
145000 .003955 .002156
146000 .003793 .004384
147000 .003644 .003422
148000 .003563 .006948
149000 .003992 .003236
150000 .003773 .005464
